FechaElección ;Ganador;Inflación12Meses;InflaciónMensual;Ticker;Sector;Retorno;;
6/11/1984;R;4.10%;0%;PLD;Financials;;;
6/11/1984;R;4.10%;0%;BMY;Health Care;0.005024312;;
6/11/1984;R;4.10%;0%;DE;Industrials;0.020160706;;
6/11/1984;R;4.10%;0%;LRCX;Information Technology;-0.014493806;;
6/11/1984;R;4.10%;0%;ELV;Health Care;;;
6/11/1984;R;4.10%;0%;DELL;Information Technology;;;
6/11/1984;R;4.10%;0%;SHW;Consumer Discretionary;0.052845188;;
6/11/1984;R;4.10%;0%;SO;Utilities;0.014083933;;
6/11/1984;R;4.10%;0%;AMT;Financials;;;
6/11/1984;R;4.10%;0%;GEV;Energy;;;
6/11/1984;R;4.10%;0%;TT;Industrials;0.011627878;;
6/11/1984;R;4.10%;0%;KLAC;Information Technology;0;;
6/11/1984;R;4.10%;0%;MO;Consumer Staples;0.007763699;;
6/11/1984;R;4.10%;0%;REGN;Health Care;;;
6/11/1984;R;4.10%;0%;CTAS;Industrials;0.019322578;;
6/11/1984;R;4.10%;0%;WM;Industrials;;;
6/11/1984;R;4.10%;0%;ICE;Financials;;;
6/11/1984;R;4.10%;0%;HCA;Health Care;;;
6/11/1984;R;4.10%;0%;PH;Industrials;0.01845056;;
6/11/1984;R;4.10%;0%;APH;Industrials;;;
6/11/1984;R;4.10%;0%;CI;Health Care;-0.00315521;;
6/11/1984;R;4.10%;0%;EQIX;Industrials;;;
6/11/1984;R;4.10%;0%;MDLZ;Consumer Staples;;;
6/11/1984;R;4.10%;0%;DUK;Utilities;0.004309377;;
6/11/1984;R;4.10%;0%;MCO;Financials;;;
6/11/1984;R;4.10%;0%;ABNB;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;SNPS;Information Technology;;;
6/11/1984;R;4.10%;0%;WELL;Industrials;0;;
6/11/1984;R;4.10%;0%;GD;Industrials;-0.00746248;;
6/11/1984;R;4.10%;0%;MSI;Information Technology;0.041045051;;
6/11/1984;R;4.10%;0%;PYPL;Information Technology;;;
6/11/1984;R;4.10%;0%;AON;Financials;-0.009869141;;
6/11/1984;R;4.10%;0%;CDNS;Information Technology;;;
6/11/1984;R;4.10%;0%;CME;Financials;;;
6/11/1984;R;4.10%;0%;PNC;Financials;0.011527146;;
6/11/1984;R;4.10%;0%;CRWD;Information Technology;;;
6/11/1984;R;4.10%;0%;ITW;Industrials;0.013158043;;
6/11/1984;R;4.10%;0%;CMG;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;ZTS;Health Care;;;
6/11/1984;R;4.10%;0%;USB;Financials;0.005465056;;
6/11/1984;R;4.10%;0%;MAR;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;MCK;Health Care;;;
6/11/1984;R;4.10%;0%;NOC;Industrials;0.036789823;;
6/11/1984;R;4.10%;0%;TDG;Industrials;;;
6/11/1984;R;4.10%;0%;CL;Consumer Staples;0.00994992;;
6/11/1984;R;4.10%;0%;EOG;Energy;;;
6/11/1984;R;4.10%;0%;CEG;Energy;;;
6/11/1984;R;4.10%;0%;MMM;Industrials;0.008955052;;
6/11/1984;R;4.10%;0%;EMR;Industrials;0;;
6/11/1984;R;4.10%;0%;ECL;Materials;0;;
6/11/1984;R;4.10%;0%;COF;Financials;;;
6/11/1984;R;4.10%;0%;ORLY;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;FTNT;Information Technology;;;
6/11/1984;R;4.10%;0%;FDX;Industrials;-0.003236353;;
6/11/1984;R;4.10%;0%;CVS;Consumer Staples;0.012499807;;
6/11/1984;R;4.10%;0%;APD;Materials;0.013967041;;
6/11/1984;R;4.10%;0%;CSX;Industrials;0.005318225;;
6/11/1984;R;4.10%;0%;TGT;Consumer Discretionary;0.01428563;;
6/11/1984;R;4.10%;0%;CARR;Industrials;;;
6/11/1984;R;4.10%;0%;WMB;Energy;0.008332888;;
6/11/1984;R;4.10%;0%;BDX;Health Care;0.03366977;;
6/11/1984;R;4.10%;0%;RSG;Industrials;;;
6/11/1984;R;4.10%;0%;ADSK;Information Technology;;;
6/11/1984;R;4.10%;0%;FCX;Materials;;;
6/11/1984;R;4.10%;0%;AJG;Financials;0;;
6/11/1984;R;4.10%;0%;OKE;Utilities;0.009009306;;
6/11/1984;R;4.10%;0%;NSC;Industrials;0.024444643;;
6/11/1984;R;4.10%;0%;GM;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;SLB;Energy;0.002976427;;
6/11/1984;R;4.10%;0%;ROP;Industrials;;;
6/11/1984;R;4.10%;0%;RCL;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;HLT;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;DLR;Industrials;;;
6/11/1984;R;4.10%;0%;AFL;Financials;0.049181144;;
6/11/1984;R;4.10%;0%;TFC;Financials;0.008064169;;
6/11/1984;R;4.10%;0%;PCAR;Industrials;0.017341842;;
6/11/1984;R;4.10%;0%;KMI;Energy;;;
6/11/1984;R;4.10%;0%;NXPI;Information Technology;;;
6/11/1984;R;4.10%;0%;PSA;Financials;0.007142451;;
6/11/1984;R;4.10%;0%;GWW;Industrials;0;;
6/11/1984;R;4.10%;0%;TRV;Financials;0.036649253;;
6/11/1984;R;4.10%;0%;SRE;Utilities;;;
6/11/1984;R;4.10%;0%;FICO;Information Technology;;;
6/11/1984;R;4.10%;0%;JCI;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;MET;Financials;;;
6/11/1984;R;4.10%;0%;BK;Financials;0.011321556;;
6/11/1984;R;4.10%;0%;DHI;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;CPRT;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;AMP;Financials;;;
6/11/1984;R;4.10%;0%;PAYX;Information Technology;0.096772334;;
6/11/1984;R;4.10%;0%;FANG;Energy;;;
6/11/1984;R;4.10%;0%;MNST;Consumer Staples;;;
6/11/1984;R;4.10%;0%;AZO;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;PSX;Energy;;;
6/11/1984;R;4.10%;0%;ALL;Financials;;;
6/11/1984;R;4.10%;0%;AEP;Utilities;0.006210521;;
6/11/1984;R;4.10%;0%;NEM;Materials;0.006249018;;
6/11/1984;R;4.10%;0%;O;Industrials;;;
6/11/1984;R;4.10%;0%;LHX;Industrials;0.019323443;;
6/11/1984;R;4.10%;0%;MPC;Energy;;;
6/11/1984;R;4.10%;0%;COR;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;CMI;Industrials;0.004991192;;
6/11/1984;R;4.10%;0%;PWR;Industrials;;;
6/11/1984;R;4.10%;0%;VST;Energy;;;
6/11/1984;R;4.10%;0%;D;Utilities;0.017391749;;
6/11/1984;R;4.10%;0%;ODFL;Industrials;;;
6/11/1984;R;4.10%;0%;FAST;Industrials;;;
6/11/1984;R;4.10%;0%;ROST;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;FIS;Information Technology;;;
6/11/1984;R;4.10%;0%;AIG;Financials;0.041666835;;
6/11/1984;R;4.10%;0%;TEL;Information Technology;;;
6/11/1984;R;4.10%;0%;MSCI;Financials;;;
6/11/1984;R;4.10%;0%;LEN;Consumer Discretionary;0.07692241;;
6/11/1984;R;4.10%;0%;HWM;Industrials;;;
6/11/1984;R;4.10%;0%;CCI;Telecommunications Services;;;
6/11/1984;R;4.10%;0%;OXY;Energy;0.020491664;;
6/11/1984;R;4.10%;0%;AXON;Information Technology;;;
6/11/1984;R;4.10%;0%;KVUE;Telecommunications Services;;;
6/11/1984;R;4.10%;0%;NDAQ;Financials;;;
6/11/1984;R;4.10%;0%;KDP;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;KMB;Consumer Staples;0;;
6/11/1984;R;4.10%;0%;AME;Industrials;0.026177765;;
6/11/1984;R;4.10%;0%;PCG;Utilities;-0.01538475;;
6/11/1984;R;4.10%;0%;DFS;Financials;;;
6/11/1984;R;4.10%;0%;HES;Energy;0.039604008;;
6/11/1984;R;4.10%;0%;F;Consumer Discretionary;0.010471782;;
6/11/1984;R;4.10%;0%;PRU;Financials;;;
6/11/1984;R;4.10%;0%;KR;Consumer Staples;0.006600324;;
6/11/1984;R;4.10%;0%;VLO;Energy;0;;
6/11/1984;R;4.10%;0%;PEG;Utilities;0.009709183;;
6/11/1984;R;4.10%;0%;STZ;Consumer Staples;;;
6/11/1984;R;4.10%;0%;IT;Information Technology;;;
6/11/1984;R;4.10%;0%;TRGP;Energy;;;
6/11/1984;R;4.10%;0%;GLW;Industrials;0.013726249;;
6/11/1984;R;4.10%;0%;CBRE;Industrials;;;
6/11/1984;R;4.10%;0%;EA;Information Technology;;;
6/11/1984;R;4.10%;0%;IR;Industrials;;;
6/11/1984;R;4.10%;0%;GRMN;Information Technology;;;
6/11/1984;R;4.10%;0%;VRSK;Information Technology;;;
6/11/1984;R;4.10%;0%;CTVA;Industrials;;;
6/11/1984;R;4.10%;0%;OTIS;Industrials;;;
6/11/1984;R;4.10%;0%;KHC;Consumer Staples;;;
6/11/1984;R;4.10%;0%;CTSH;Information Technology;;;
6/11/1984;R;4.10%;0%;IQV;Health Care;;;
6/11/1984;R;4.10%;0%;LULU;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;DAL;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;A;Health Care;;;
6/11/1984;R;4.10%;0%;GEHC;Health Care;;;
6/11/1984;R;4.10%;0%;MCHP;Information Technology;;;
6/11/1984;R;4.10%;0%;EW;Health Care;;;
6/11/1984;R;4.10%;0%;XEL;Utilities;0;;
6/11/1984;R;4.10%;0%;VMC;Materials;0.010489498;;
6/11/1984;R;4.10%;0%;ACGL;Financials;;;
6/11/1984;R;4.10%;0%;EXC;Utilities;0.032520208;;
6/11/1984;R;4.10%;0%;YUM;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;SYY;Consumer Staples;0;;
6/11/1984;R;4.10%;0%;MLM;Materials;;;
6/11/1984;R;4.10%;0%;NUE;Materials;0.003921647;;
6/11/1984;R;4.10%;0%;MPWR;Information Technology;;;
6/11/1984;R;4.10%;0%;RMD;Health Care;;;
6/11/1984;R;4.10%;0%;LVS;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;GIS;Consumer Staples;0.009345232;;
6/11/1984;R;4.10%;0%;EXR;Industrials;;;
6/11/1984;R;4.10%;0%;HSY;Consumer Staples;-0.012738981;;
6/11/1984;R;4.10%;0%;HPQ;Information Technology;0.027027249;;
6/11/1984;R;4.10%;0%;IDXX;Health Care;;;
6/11/1984;R;4.10%;0%;MTB;Financials;0;;
6/11/1984;R;4.10%;0%;HUM;Health Care;0.004878818;;
6/11/1984;R;4.10%;0%;WAB;Industrials;;;
6/11/1984;R;4.10%;0%;HIG;Financials;;;
6/11/1984;R;4.10%;0%;ED;Utilities;0.008849805;;
6/11/1984;R;4.10%;0%;EFX;Financials;0.00784331;;
6/11/1984;R;4.10%;0%;AVB;Financials;;;
6/11/1984;R;4.10%;0%;VICI;Industrials;;;
6/11/1984;R;4.10%;0%;DOW;Materials;;;
6/11/1984;R;4.10%;0%;RJF;Financials;0;;
6/11/1984;R;4.10%;0%;EIX;Utilities;0.01081039;;
6/11/1984;R;4.10%;0%;BRO;Financials;0;;
6/11/1984;R;4.10%;0%;ETR;Utilities;0.019047376;;
6/11/1984;R;4.10%;0%;WTW;Financials;;;
6/11/1984;R;4.10%;0%;CSGP;Information Technology;;;
6/11/1984;R;4.10%;0%;TTWO;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;FITB;Financials;0;;
6/11/1984;R;4.10%;0%;ROK;Industrials;0.004132122;;
6/11/1984;R;4.10%;0%;WEC;Utilities;0.016000884;;
6/11/1984;R;4.10%;0%;TSCO;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;CNC;Health Care;;;
6/11/1984;R;4.10%;0%;XYL;Industrials;;;
6/11/1984;R;4.10%;0%;CCL;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;ON;Information Technology;;;
6/11/1984;R;4.10%;0%;ANSS;Information Technology;;;
6/11/1984;R;4.10%;0%;EBAY;Information Technology;;;
6/11/1984;R;4.10%;0%;CAH;Health Care;0.017856817;;
6/11/1984;R;4.10%;0%;PPG;Materials;0.022305184;;
6/11/1984;R;4.10%;0%;UAL;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;KEYS;Information Technology;;;
6/11/1984;R;4.10%;0%;HPE;Information Technology;;;
6/11/1984;R;4.10%;0%;NVR;Industrials;;;
6/11/1984;R;4.10%;0%;LYV;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;GPN;Information Technology;;;
6/11/1984;R;4.10%;0%;VTR;Financials;;;
6/11/1984;R;4.10%;0%;MTD;Health Care;;;
6/11/1984;R;4.10%;0%;K;Consumer Staples;0.013745612;;
6/11/1984;R;4.10%;0%;EQR;Financials;;;
6/11/1984;R;4.10%;0%;STT;Financials;0.012047807;;
6/11/1984;R;4.10%;0%;LYB;Materials;;;
6/11/1984;R;4.10%;0%;DOV;Industrials;0.00711671;;
6/11/1984;R;4.10%;0%;DXCM;Health Care;;;
6/11/1984;R;4.10%;0%;PHM;Consumer Discretionary;0;;
6/11/1984;R;4.10%;0%;SW;Industrials;;;
6/11/1984;R;4.10%;0%;DECK;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;TYL;Information Technology;0.01851863;;
6/11/1984;R;4.10%;0%;CDW;Information Technology;;;
6/11/1984;R;4.10%;0%;AWK;Utilities;;;
6/11/1984;R;4.10%;0%;LDOS;Industrials;;;
6/11/1984;R;4.10%;0%;TROW;Financials;;;
6/11/1984;R;4.10%;0%;VLTO;Industrials;;;
6/11/1984;R;4.10%;0%;FTV;Industrials;;;
6/11/1984;R;4.10%;0%;CHD;Consumer Staples;0.021051775;;
6/11/1984;R;4.10%;0%;HAL;Energy;0.019684895;;
6/11/1984;R;4.10%;0%;DVN;Energy;;;
6/11/1984;R;4.10%;0%;CPAY;Information Technology;;;
6/11/1984;R;4.10%;0%;NTAP;Information Technology;;;
6/11/1984;R;4.10%;0%;BIIB;Health Care;;;
6/11/1984;R;4.10%;0%;HUBB;Industrials;0;;
6/11/1984;R;4.10%;0%;GDDY;Information Technology;;;
6/11/1984;R;4.10%;0%;ADM;Consumer Staples;0.049295417;;
6/11/1984;R;4.10%;0%;SYF;Financials;;;
6/11/1984;R;4.10%;0%;EQT;Utilities;0.011278437;;
6/11/1984;R;4.10%;0%;PPL;Utilities;0.015385286;;
6/11/1984;R;4.10%;0%;DTE;Utilities;0.008196783;;
6/11/1984;R;4.10%;0%;ROL;Consumer Discretionary;-0.013697172;;
6/11/1984;R;4.10%;0%;SBAC;Industrials;;;
6/11/1984;R;4.10%;0%;AEE;Utilities;;;
6/11/1984;R;4.10%;0%;WDC;Information Technology;0.015151433;;
6/11/1984;R;4.10%;0%;FE;Utilities;;;
6/11/1984;R;4.10%;0%;IFF;Materials;0.004464129;;
6/11/1984;R;4.10%;0%;EXPE;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;WST;Health Care;0.026315619;;
6/11/1984;R;4.10%;0%;RF;Financials;0.010988992;;
6/11/1984;R;4.10%;0%;CINF;Financials;0;;
6/11/1984;R;4.10%;0%;WY;Financials;0.017241694;;
6/11/1984;R;4.10%;0%;PTC;Information Technology;;;
6/11/1984;R;4.10%;0%;WRB;Financials;0;;
6/11/1984;R;4.10%;0%;EL;Consumer Staples;;;
6/11/1984;R;4.10%;0%;STLD;Materials;;;
6/11/1984;R;4.10%;0%;WAT;Health Care;;;
6/11/1984;R;4.10%;0%;TDY;Industrials;;;
6/11/1984;R;4.10%;0%;WBD;Telecommunications Services;;;
6/11/1984;R;4.10%;0%;ES;Utilities;0;;
6/11/1984;R;4.10%;0%;ATO;Utilities;-0.006368827;;
6/11/1984;R;4.10%;0%;STX;Information Technology;;;
6/11/1984;R;4.10%;0%;STE;Health Care;;;
6/11/1984;R;4.10%;0%;PKG;Materials;;;
6/11/1984;R;4.10%;0%;ZBH;Health Care;;;
6/11/1984;R;4.10%;0%;NTRS;Financials;0;;
6/11/1984;R;4.10%;0%;MKC;Consumer Staples;0;;
6/11/1984;R;4.10%;0%;TSN;Consumer Staples;0.037037094;;
6/11/1984;R;4.10%;0%;FSLR;Industrials;;;
6/11/1984;R;4.10%;0%;COO;Health Care;0;;
6/11/1984;R;4.10%;0%;INVH;Industrials;;;
6/11/1984;R;4.10%;0%;CBOE;Financials;;;
6/11/1984;R;4.10%;0%;ZBRA;Information Technology;;;
6/11/1984;R;4.10%;0%;BLDR;Materials;;;
6/11/1984;R;4.10%;0%;CLX;Consumer Staples;0;;
6/11/1984;R;4.10%;0%;OMC;Consumer Discretionary;0;;
6/11/1984;R;4.10%;0%;LH;Health Care;;;
6/11/1984;R;4.10%;0%;CFG;Financials;;;
6/11/1984;R;4.10%;0%;CMS;Utilities;0.026316914;;
6/11/1984;R;4.10%;0%;IP;Materials;0.017156807;;
6/11/1984;R;4.10%;0%;ARE;Industrials;;;
6/11/1984;R;4.10%;0%;ERIE;Financials;;;
6/11/1984;R;4.10%;0%;NRG;Utilities;;;
6/11/1984;R;4.10%;0%;CNP;Utilities;0.005681689;;
6/11/1984;R;4.10%;0%;DRI;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;FOX;Telecommunications Services;;;
6/11/1984;R;4.10%;0%;FOXA;Telecommunications Services;;;
6/11/1984;R;4.10%;0%;ESS;Industrials;;;
6/11/1984;R;4.10%;0%;PFG;Financials;;;
6/11/1984;R;4.10%;0%;JBHT;Industrials;-0.036585001;;
6/11/1984;R;4.10%;0%;BBY;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;BF-B;Consumer Staples;0.008621355;;
6/11/1984;R;4.10%;0%;LUV;Industrials;0.017856904;;
6/11/1984;R;4.10%;0%;SNA;Consumer Discretionary;0;;
6/11/1984;R;4.10%;0%;MOH;Health Care;;;
6/11/1984;R;4.10%;0%;PODD;Health Care;;;
6/11/1984;R;4.10%;0%;MAA;Industrials;;;
6/11/1984;R;4.10%;0%;HOLX;Health Care;;;
6/11/1984;R;4.10%;0%;GEN;Information Technology;;;
6/11/1984;R;4.10%;0%;J;Industrials;-0.017544661;;
6/11/1984;R;4.10%;0%;ULTA;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;FDS;Information Technology;;;
6/11/1984;R;4.10%;0%;CTRA;Energy;;;
6/11/1984;R;4.10%;0%;L;Financials;0.016807016;;
6/11/1984;R;4.10%;0%;TER;Information Technology;0.024875787;;
6/11/1984;R;4.10%;0%;BALL;Materials;0.02070951;;
6/11/1984;R;4.10%;0%;DGX;Health Care;;;
6/11/1984;R;4.10%;0%;TRMB;Information Technology;;;
6/11/1984;R;4.10%;0%;BAX;Health Care;0.026549016;;
6/11/1984;R;4.10%;0%;VRSN;Information Technology;;;
6/11/1984;R;4.10%;0%;MAS;Industrials;0.013953776;;
6/11/1984;R;4.10%;0%;NWS;Telecommunications Services;;;
6/11/1984;R;4.10%;0%;NWSA;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;IEX;Industrials;;;
6/11/1984;R;4.10%;0%;PNR;Industrials;0.004505004;;
6/11/1984;R;4.10%;0%;GPC;Consumer Discretionary;-0.011236674;;
6/11/1984;R;4.10%;0%;EXPD;Industrials;0;;
6/11/1984;R;4.10%;0%;KIM;Financials;;;
6/11/1984;R;4.10%;0%;NI;Utilities;0.017543724;;
6/11/1984;R;4.10%;0%;HRL;Consumer Staples;0;;
6/11/1984;R;4.10%;0%;AVY;Industrials;0.016393973;;
6/11/1984;R;4.10%;0%;ALGN;Health Care;;;
6/11/1984;R;4.10%;0%;TXT;Industrials;0.026845273;;
6/11/1984;R;4.10%;0%;DOC;Industrials;;;
6/11/1984;R;4.10%;0%;INCY;Health Care;;;
6/11/1984;R;4.10%;0%;MRO;Energy;0.014423205;;
6/11/1984;R;4.10%;0%;DPZ;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;EG;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;VTRS;Financials;0.061320682;;
6/11/1984;R;4.10%;0%;JBL;Information Technology;;;
6/11/1984;R;4.10%;0%;NDSN;Industrials;0;;
6/11/1984;R;4.10%;0%;RVTY;Health Care;0.003717472;;
6/11/1984;R;4.10%;0%;LNT;Utilities;0.004347387;;
6/11/1984;R;4.10%;0%;AMCR;Materials;;;
6/11/1984;R;4.10%;0%;UDR;Industrials;0;;
6/11/1984;R;4.10%;0%;CF;Materials;;;
6/11/1984;R;4.10%;0%;EVRG;Utilities;0.007406861;;
6/11/1984;R;4.10%;0%;SMCI;Information Technology;;;
6/11/1984;R;4.10%;0%;SWKS;Information Technology;0.049999364;;
6/11/1984;R;4.10%;0%;POOL;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;FFIV;Information Technology;;;
6/11/1984;R;4.10%;0%;CPB;Consumer Staples;0.01642336;;
6/11/1984;R;4.10%;0%;REG;Industrials;;;
6/11/1984;R;4.10%;0%;AKAM;Information Technology;;;
6/11/1984;R;4.10%;0%;EPAM;Information Technology;;;
6/11/1984;R;4.10%;0%;APTV;Industrials;;;
6/11/1984;R;4.10%;0%;DLTR;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;PAYC;Information Technology;;;
6/11/1984;R;4.10%;0%;JKHY;Information Technology;;;
6/11/1984;R;4.10%;0%;BXP;Financials;;;
